system:index,date,class_id,LAI_MODIS,FVC_crudo,FVC_gf,LAI_MODIS_raw,FPAR_MODIS,LAI_gf,LAI_crudo,FPAR_MODIS_raw
5_274_0,2023-02-04,6093,0.7000000000000001,1.0E-5,0.0015147196,7,0.35000000000000003,0.49951497,0.43873012,35
5_280_0,2023-02-04,275,0.30000000000000004,1.0E-5,1.0086856E-5,3,0.17,0.4774415,0.47583997,17
5_284_0,2023-02-04,3432,0.7000000000000001,0.040880594,0.010300458,7,0.4,0.32414463,1.0E-5,40
5_307_0,2023-02-04,2058,0.5,0.040247034,0.012762421,5,0.23,0.3591808,0.30295712,23
5_317_0,2023-02-04,113,0.7000000000000001,0.009732278,0.0073971343,7,0.32,0.50464004,0.5304554,32
5_319_0,2023-02-04,1989,0.6000000000000001,1.0E-5,0.0032559605,6,0.25,0.2565746,0.33412963,25
5_334_0,2023-02-04,9643,0.30000000000000004,1.0E-5,0.017954396,3,0.22,0.18825929,0.27571556,22
5_339_0,2023-02-04,5203,0.2,1.0E-5,0.009633592,2,0.15,0.46459103,0.46435118,15
5_343_0,2023-02-04,5265,0.5,1.0E-5,0.0023917544,5,0.23,0.24468541,0.2619053,23
5_350_0,2023-02-04,3179,0.7000000000000001,0.026262457,0.023458932,7,0.3,0.2933525,0.33194172,30
5_357_0,2023-02-04,7753,0.7000000000000001,0.020430615,0.026395291,7,0.34,0.3078756,0.39233044,34
5_358_0,2023-02-04,9745,1.0,0.047987312,0.038987722,10,0.44,0.41491225,0.4798575,44
5_373_0,2023-02-04,2431,0.30000000000000004,1.0E-5,0.039628938,3,0.18,0.27330425,0.35253966,18
5_396_0,2023-02-04,9182,0.30000000000000004,0.015543419,0.0063579082,3,0.16,0.29184467,0.35134235,16
5_418_0,2023-02-04,3744,0.30000000000000004,1.0E-5,1.0086856E-5,3,0.15,0.36504146,1.0E-5,15
5_422_0,2023-02-04,7245,0.9,0.10825941,0.108617395,9,0.45,0.25670734,0.23536982,45
5_424_0,2023-02-04,1763,0.5,0.020108385,0.040195487,5,0.23,0.32453278,0.37697148,23
5_430_0,2023-02-04,7487,0.5,0.0091260765,0.0049481634,5,0.25,0.2837515,0.32451755,25
5_441_0,2023-02-04,7215,0.30000000000000004,1.0E-5,0.009306382,3,0.22,0.16565908,0.17047471,22
5_447_0,2023-02-04,3281,0.5,0.028819557,0.034779873,5,0.24,0.2288693,0.2401038,24
5_449_0,2023-02-04,8225,0.5,1.0E-5,0.0025198369,5,0.31,0.23201355,0.18586251,31
5_455_0,2023-02-04,7579,0.7000000000000001,0.031970948,0.019227434,7,0.4,0.298416,0.3049849,40
5_464_0,2023-02-04,7130,0.5,6.5614696E-4,0.0055313087,5,0.25,0.3456473,0.3727977,25
5_471_0,2023-02-04,544,0.30000000000000004,0.0066548907,0.010678472,3,0.17,0.2883153,0.34695134,17
